date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:07	93862/93862	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bf3-16ea6%22	http://htmldemo.net/mirora/mirora/product-details-sticky-left.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/product-details-sticky-left.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:08	93885/93885	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9c00-16ebd%22	http://htmldemo.net/mirora/mirora/product-details-sticky-right.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/product-details-sticky-right.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:09	94535/94535	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bf2-17147%22	http://htmldemo.net/mirora/mirora/product-details-gallery-left.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/product-details-gallery-left.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:10	94558/94558	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bfb-1715e%22	http://htmldemo.net/mirora/mirora/product-details-gallery-right.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/product-details-gallery-right.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:11	94604/94604	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bf3-1718c%22	http://htmldemo.net/mirora/mirora/product-details-slider-box.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/product-details-slider-box.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:11	94543/94543	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bf4-1714f%22	http://htmldemo.net/mirora/mirora/product-details-slider-full-width.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/product-details-slider-full-width.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:12	78804/78804	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bed-133d4%22	http://htmldemo.net/mirora/mirora/blog.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/blog.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:12	78781/78781	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bf1-133bd%22	http://htmldemo.net/mirora/mirora/blog-right-sidebar.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/blog-right-sidebar.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:13	65455/65455	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9beb-ffaf%22	http://htmldemo.net/mirora/mirora/blog-3-column.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/blog-3-column.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:13	65532/65532	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bed-fffc%22	http://htmldemo.net/mirora/mirora/blog-4-column.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/blog-4-column.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:14	65444/65444	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bec-ffa4%22	http://htmldemo.net/mirora/mirora/blog-list.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/blog-list.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:15	78888/78888	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bed-13428%22	http://htmldemo.net/mirora/mirora/blog-list-left-sidebar.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/blog-list-left-sidebar.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:15	78833/78833	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bed-133f1%22	http://htmldemo.net/mirora/mirora/blog-list-right-sidebar.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/blog-list-right-sidebar.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:16	77511/77511	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bec-12ec7%22	http://htmldemo.net/mirora/mirora/blog-details-image.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/blog-details-image.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:17	77752/77752	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bea-12fb8%22	http://htmldemo.net/mirora/mirora/blog-details-audio.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/blog-details-audio.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:18	77608/77608	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bec-12f28%22	http://htmldemo.net/mirora/mirora/blog-details-video.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/blog-details-video.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:19	78120/78120	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bea-13128%22	http://htmldemo.net/mirora/mirora/blog-details-gallery.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/blog-details-gallery.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:20	77708/77708	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bea-12f8c%22	http://htmldemo.net/mirora/mirora/blog-details-right-sidebar.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/blog-details-right-sidebar.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:20	59910/59910	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bee-ea06%22	http://htmldemo.net/mirora/mirora/compare.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/compare.html	(from http://htmldemo.net/mirora/mirora/index.html)
